id,nome,artistas,album,release_date,duracao_ms,popularity,explicit,url
4CBgp0F4HzYHn9g1oRYgaH,Machine,Born Of Osiris,Tomorrow We Die Alive,2013,264773,43,False,https://open.spotify.com/track/4CBgp0F4HzYHn9g1oRYgaH
3v3VFa7Dt32gNR27jfw7DG,40oz,Polyphia,The Most Hated,2017-07-14,233818,50,False,https://open.spotify.com/track/3v3VFa7Dt32gNR27jfw7DG
6ZDHFz6h8d93EPAIq5hDuE,Champagne,"Polyphia, Nick Johnston",Muse,2014-09-02,265384,45,False,https://open.spotify.com/track/6ZDHFz6h8d93EPAIq5hDuE
1U2yqd3Bp4vBuIQ3NGfS6C,O.D.,Polyphia,New Levels New Devils,2018-10-12,202163,44,False,https://open.spotify.com/track/1U2yqd3Bp4vBuIQ3NGfS6C
5l3WNlq4rag0fFP0TI9qeJ,The Worst,Polyphia,The Most Hated,2017-07-14,245779,46,False,https://open.spotify.com/track/5l3WNlq4rag0fFP0TI9qeJ
2v7iJcMoQcN40fK9XEb42q,Goose,Polyphia,The Most Hated,2017-07-14,255454,44,True,https://open.spotify.com/track/2v7iJcMoQcN40fK9XEb42q
4LoIgQo8l6wxTnRTOL1lvL,Saucy,Polyphia,New Levels New Devils,2018-10-12,184659,40,False,https://open.spotify.com/track/4LoIgQo8l6wxTnRTOL1lvL
5QZ7TEd3h6OysmdMHm0Mfj,Icronic,Polyphia,The Most Hated,2017-07-14,231243,42,False,https://open.spotify.com/track/5QZ7TEd3h6OysmdMHm0Mfj
6DZb3JYHOAV0RR0VTEMCIn,Nightmare,Polyphia,Renaissance,2016-03-25,246935,40,False,https://open.spotify.com/track/6DZb3JYHOAV0RR0VTEMCIn
26CD6boN0gB1Y2zXgQrfhw,Death Note (feat. Ichika),"Polyphia, Ichika Nito",New Levels New Devils,2018-10-12,220115,40,False,https://open.spotify.com/track/26CD6boN0gB1Y2zXgQrfhw
6zws4OjURj5NQox7MvKunh,Crosty,Polyphia,The Most Hated,2017-07-14,185751,39,False,https://open.spotify.com/track/6zws4OjURj5NQox7MvKunh
5f07SlGqb3uEmn1s3KtSVj,Inspire,Polyphia,Inspire,2013-04-21,325028,24,False,https://open.spotify.com/track/5f07SlGqb3uEmn1s3KtSVj
6kV4qIMB3yeXUlrPJHfl5g,Cyclus Doloris,ANGRA,Cycles Of Pain,2023-11-03,47808,19,False,https://open.spotify.com/track/6kV4qIMB3yeXUlrPJHfl5g
4S4sZuzgBXCw6LpiFRZtkh,Ride Into The Storm,ANGRA,Cycles Of Pain,2023-11-03,372221,27,False,https://open.spotify.com/track/4S4sZuzgBXCw6LpiFRZtkh
5L4cqsBkPTVQbsepUSEg1s,Dead Man On Display,ANGRA,Cycles Of Pain,2023-11-03,366550,24,False,https://open.spotify.com/track/5L4cqsBkPTVQbsepUSEg1s
6gauGKUQgLotQyVWB6eW9U,Tide Of Changes - Part I,ANGRA,Cycles Of Pain,2023-11-03,75293,22,False,https://open.spotify.com/track/6gauGKUQgLotQyVWB6eW9U
5XDlSzqOSXRjdx3YiWmXd7,Tide Of Changes - Part II,"ANGRA, Vanessa Moreno",Cycles Of Pain,2023-11-03,337651,27,False,https://open.spotify.com/track/5XDlSzqOSXRjdx3YiWmXd7
52oiJWl4oDiwJu1avyAtOQ,Vida Seca,"ANGRA, Lenine",Cycles Of Pain,2023-11-03,311172,30,False,https://open.spotify.com/track/52oiJWl4oDiwJu1avyAtOQ
3gBVKNTIfIsJIcszvDTw8s,Gods Of The World,ANGRA,Cycles Of Pain,2023-11-03,283683,23,False,https://open.spotify.com/track/3gBVKNTIfIsJIcszvDTw8s
4QXNWHqW6BqaFGRFR4jX9q,Cycles Of Pain,ANGRA,Cycles Of Pain,2023-11-03,313898,26,False,https://open.spotify.com/track/4QXNWHqW6BqaFGRFR4jX9q
6NnIDKiCZTJRvrnV3g2Ebf,Faithless Sanctuary,ANGRA,Cycles Of Pain,2023-11-03,399321,22,False,https://open.spotify.com/track/6NnIDKiCZTJRvrnV3g2Ebf
45VIrbiPh1rURwpeYKsyJ6,Here In The Now,"ANGRA, Vanessa Moreno",Cycles Of Pain,2023-11-03,354390,20,False,https://open.spotify.com/track/45VIrbiPh1rURwpeYKsyJ6
7IVl58cNW2aXh22jJEBY3Y,Generation Warriors,ANGRA,Cycles Of Pain,2023-11-03,308914,19,False,https://open.spotify.com/track/7IVl58cNW2aXh22jJEBY3Y
2KHOkeJSab3Bo86NtZbaev,Tears Of Blood,"ANGRA, Amanda Somerville",Cycles Of Pain,2023-11-03,335507,19,False,https://open.spotify.com/track/2KHOkeJSab3Bo86NtZbaev
0HAr4QR1xI8nwC7VfzYidu,Dead Memories,Slipknot,All Hope Is Gone,2008-08-22,268586,54,False,https://open.spotify.com/track/0HAr4QR1xI8nwC7VfzYidu
0BxE4FqsDD1Ot4YuBXwAPp,505,Arctic Monkeys,Favourite Worst Nightmare,2007-04-22,253586,81,False,https://open.spotify.com/track/0BxE4FqsDD1Ot4YuBXwAPp
