id;nome;artistas;album;release_date;duracao_ms;popularity;explicit;url;stem_path;BPM;Root_key
5c1QJAiC3773EwiZLwHf5x;Again;Lenny Kravitz;Again;2000-01-01;231666;71;False;https://open.spotify.com/track/5c1QJAiC3773EwiZLwHf5x;guitar_stems/Lenny_Kravitz_-_Again_(Official_Music_Video).wav;79.0;A major
0QnONzv3TvHAWk294h6DaQ;Last Kiss;Pearl Jam;Last Kiss;1999;195466;72;False;https://open.spotify.com/track/0QnONzv3TvHAWk294h6DaQ;guitar_stems/Pearl_Jam_-_Last_Kiss_(Official_Audio).wav;56.0;G major
4iy05BhSMenHHmG0Pcs9ZV;Angel;Aerosmith;Big Ones;1994-01-01;306773;29;False;https://open.spotify.com/track/4iy05BhSMenHHmG0Pcs9ZV;guitar_stems/Scorpions_-_Send_Me_An_Angel.wav;107.0;Eb minor
2IZZqH4K02UIYg5EohpNHF;Zombie;The Cranberries;No Need To Argue;1994-10-03;306426;9;False;https://open.spotify.com/track/2IZZqH4K02UIYg5EohpNHF;guitar_stems/The_Cranberries_-_Zombie_(Official_Music_Video).wav;83.0;G major
6FPnecQDKOWSAKDKBAZ7ZG;The Dolphin's Cry;Live;The Distance To Here;1999-01-01;264160;57;False;https://open.spotify.com/track/6FPnecQDKOWSAKDKBAZ7ZG;;;
31AOj9sFz2gM0O3hMARRBx;Losing My Religion;R.E.M.;Out Of Time (25th Anniversary Edition);1991-03-12;268426;84;False;https://open.spotify.com/track/31AOj9sFz2gM0O3hMARRBx;guitar_stems/R.E.M._-_Losing_My_Religion_(Official_HD_Music_Video).wav;125.0;A minor
3fjmSxt0PskST13CSdBUFx;Somewhere I Belong;Linkin Park;Meteora (Bonus Edition);2003-03-25;213933;78;False;https://open.spotify.com/track/3fjmSxt0PskST13CSdBUFx;guitar_stems/Somewhere_I_Belong_(Official_Music_Video)_[4K_UPGRADE]_–_Linkin_Park.wav;81.0;Bb minor
31v2AQlx4pDI7kmnLxBkem;Mmm Mmm Mmm Mmm;Crash Test Dummies;God Shuffled His Feet;1993-04-05;235173;65;False;https://open.spotify.com/track/31v2AQlx4pDI7kmnLxBkem;guitar_stems/Crash_Test_Dummies_-_Mmm_Mmm_Mmm_Mmm_(Official_Video).wav;94.0;Eb major
4R9MweXSxCektsdVJ2uS8V;Someday I'll Be Saturday Night;Bon Jovi;Cross Road;1994-10-18;279173;54;False;https://open.spotify.com/track/4R9MweXSxCektsdVJ2uS8V;guitar_stems/Bon_Jovi_-_Someday_I'll_Be_Saturday_Night_(Intl._Version)_(Official_Music_Video).wav;64.0;E major
7ofV2J7Ndzo2s5NBEgfpxl;The Show Must Go On - Remastered 2011;Queen;Greatest Hits II (Remastered);1991-10-28;263626;49;False;https://open.spotify.com/track/7ofV2J7Ndzo2s5NBEgfpxl;;;
6oNvmplQGUkmAh441Teows;I Touch Myself;Divinyls;Divinyls;1991-01-01;227640;63;False;https://open.spotify.com/track/6oNvmplQGUkmAh441Teows;guitar_stems/Divinyls_-_I_Touch_Myself_(Official_Music_Video).wav;113.0;Gb major
17S4XrLvF5jlGvGCJHgF51;Learning To Fly;Tom Petty and the Heartbreakers;Into The Great Wide Open;1991-01-01;242106;72;False;https://open.spotify.com/track/17S4XrLvF5jlGvGCJHgF51;guitar_stems/Tom_Petty_And_The_Heartbreakers_-_Learning_To_Fly_(Version_1).wav;117.0;C major
4PkJ7c9y1CwpuVOiJODnCZ;Someday;Nickelback;The Long Road;2003-09-23;207466;73;False;https://open.spotify.com/track/4PkJ7c9y1CwpuVOiJODnCZ;guitar_stems/Nickelback_-_Someday.wav;82.0;D major
3YRCqOhFifThpSRFJ1VWFM;November Rain;Guns N' Roses;Use Your Illusion I;1991-09-17;536066;81;False;https://open.spotify.com/track/3YRCqOhFifThpSRFJ1VWFM;guitar_stems/Guns_N'_Roses_-_November_Rain.wav;79.0;E major
4t1fWWJQs5V9YErfsrDslC;Cryin';Aerosmith;Get A Grip;1993-01-01;308560;72;False;https://open.spotify.com/track/4t1fWWJQs5V9YErfsrDslC;guitar_stems/Aerosmith_-_Cryin'_(Official_Music_Video).wav;105.0;A major
0aGQHMr7bc23Y9Ts84ffop;Around the World;Red Hot Chili Peppers;Californication (Deluxe Edition);1999-06-08;238733;70;True;https://open.spotify.com/track/0aGQHMr7bc23Y9Ts84ffop;guitar_stems/Red_Hot_Chili_Peppers_-_Around_The_World_[Official_Music_Video]_[HD_UPGRADE].wav;96.0;C major
3tRv4ZYZimrL27flnjgeR6;Every You Every Me;Placebo;Without You I'm Nothing;1998-10-12;213800;2;False;https://open.spotify.com/track/3tRv4ZYZimrL27flnjgeR6;guitar_stems/Placebo_-_Every_You_Every_Me_(Official_Music_Video).wav;66.0;D minor
5vHLwhxxlGzmClMcxRRFPr;Lithium;Nirvana;Nevermind (Remastered);1991-09-26;257053;73;False;https://open.spotify.com/track/5vHLwhxxlGzmClMcxRRFPr;guitar_stems/Evanescence_-_Lithium.wav;61.0;Bb major
2VSbEXqs6NbNiZSTcHlIDR;My Sacrifice;Creed;Weathered;2001-01-01;294600;76;False;https://open.spotify.com/track/2VSbEXqs6NbNiZSTcHlIDR;guitar_stems/Creed_-_My_Sacrifice.wav;64.0;D major
1OxcIUqVmVYxT6427tbhDW;Fly Away;Lenny Kravitz;5;1998-05-12;221332;75;False;https://open.spotify.com/track/1OxcIUqVmVYxT6427tbhDW;guitar_stems/Lenny_Kravitz_-_Fly_Away_(Official_Music_Video).wav;80.0;A minor
3ovjw5HZZv43SxTwApooCM;Wind Of Change;Scorpions;Crazy World;1990-01-01;312360;80;False;https://open.spotify.com/track/3ovjw5HZZv43SxTwApooCM;guitar_stems/Scorpions_-_Wind_Of_Change_(Official_Music_Video).wav;76.0;C major
6nswV1Lz3OZkaiCJfmVUOa;The Unforgiven II;Metallica;Reload;1997-01-01;396440;67;False;https://open.spotify.com/track/6nswV1Lz3OZkaiCJfmVUOa;guitar_stems/Metallica_-_The_Unforgiven_II_(Official_Music_Video).wav;66.0;G# minor
5qlJg0Wbj3sslxfwiaRNpq;"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack";Aerosmith;I Don't Want To Miss A Thing EP;1998-08-18;299723;77;False;https://open.spotify.com/track/5qlJg0Wbj3sslxfwiaRNpq;;;
697M5JB8FDIyRXEXgl1pBZ;From the Inside;Linkin Park;Meteora (Bonus Edition);2003-03-25;175506;66;False;https://open.spotify.com/track/697M5JB8FDIyRXEXgl1pBZ;guitar_stems/From_The_Inside_(Official_Music_Video)_[4K_UPGRADE]_–_Linkin_Park.wav;95.0;C# minor
